1	267/100	0.25	0.5	['E3']	[]	[0]	[4]
2	1.0	1.0	0.5	['A2', 'A3']	['P8']	[0]	[9]
2	133/100	0.25	0.5	['A2', 'A3', 'C#4']	['P8', 'M10', 'M3']	[0, 4]	[9, 1]
2	167/100	0.25	0.5	['A2', 'E3', 'C#4', 'E4']	['P5', 'M10', 'P12', 'M6', 'P8', 'm3']	[0, 3, 7]	[9, 1, 4]
2	2.0	0.5	0.5	['D#3', 'E4', 'A4']	['m9', 'd12', 'P4']	[0, 1, 6]	[3, 4, 9]
2	233/100	0.25	0.5	['D#3', 'C#4', 'E4']	['m7', 'm9', 'm3']	[0, 1, 3]	[1, 3, 4]
2	267/100	0.25	0.5	['E3', 'A3', 'C#4']	['P4', 'M6', 'M3']	[0, 3, 7]	[9, 1, 4]
3	1.0	1.0	0.5	['G#2', 'B3']	['m10']	[0, 3]	[8, 11]
3	133/100	0.25	0.5	['G#2', 'B3', 'D4']	['m10', 'd12', 'm3']	[0, 3, 6]	[8, 11, 2]
3	167/100	0.25	0.5	['G#2', 'E3', 'D4', 'E4']	['m6', 'd12', 'm13', 'm7', 'P8', 'M2']	[0, 2, 6]	[2, 4, 8]
3	2.0	0.5	0.5	['D#3', 'E4', 'B4']	['m9', 'm13', 'P5']	[0, 1, 5]	[11, 3, 4]
3	233/100	0.25	0.5	['D#3', 'D4', 'E4']	['d8', 'm9', 'M2']	[0, 1, 2]	[2, 3, 4]
3	267/100	0.25	0.5	['E3', 'B3', 'D4']	['P5', 'm7', 'm3']	[0, 2, 5]	[11, 2, 4]
4	1.0	1.0	0.5	['A2', 'C#4']	['M10']	[0, 4]	[9, 1]
4	133/100	0.25	0.5	['A2', 'C#4', 'E4']	['M10', 'P12', 'm3']	[0, 3, 7]	[9, 1, 4]
4	167/100	0.25	0.5	['B3', 'C#4', 'A4']	['M2', 'm7', 'm6']	[0, 2, 4]	[9, 11, 1]
4	2.0	0.5	0.5	['D3', 'A3']	['P5']	[0, 5]	[9, 2]
4	233/100	0.25	0.5	['D3', 'A3', 'D4', 'F#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[2, 6, 9]
4	267/100	0.25	0.5	['B3', 'F#4', 'A4']	['P5', 'm7', 'm3']	[0, 2, 5]	[6, 9, 11]
5	1.0	1.0	0.5	['E3', 'A3']	['P4']	[0, 5]	[4, 9]
5	133/100	0.25	0.5	['E3', 'A3', 'C#4', 'E4']	['P4', 'M6', 'P8', 'M3', 'P5', 'm3']	[0, 3, 7]	[9, 1, 4]
5	167/100	0.25	0.5	['A3', 'E4', 'A4']	['P5', 'P8', 'P4']	[0, 5]	[4, 9]
5	2.0	0.5	0.5	['E3', 'G#3']	['M3']	[0, 4]	[4, 8]
5	233/100	0.25	0.5	['E3', 'G#3', 'B3', 'E4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[4, 8, 11]
